Placement,Placement url,Type,Ad group,Views,Currency code,Avg. CPV,Impr.,View rate,Cost,Conversions,Cost / conv.,Conv. rate
Technicolor Animation Productions,http://youtube.com/channel/UCGonqLj8HJRp8ma_UiGGPDQ,YouTube channel,AdGroup #1,4,USD,0.00,4,100.00%,0.01,0.00,0.00,0.00%
아미블링크,http://youtube.com/channel/UCskOacKJwbNB7bgnWLFoO7Q,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
보길 bogil,http://youtube.com/channel/UCZfupFXtc1U6hofsotI36zQ,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
Mckodem,http://youtube.com/channel/UCzx1Nw8cxGZrcAo9ZcGf3EQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Oficial Madison,http://youtube.com/channel/UC9JII1F2MWjNxcNWuaNb_7w,YouTube channel,AdGroup #1,0,USD, --,0, --,0.00,0.00,0.00,0.00%
Seelmaru,http://youtube.com/channel/UCkZsgMvdMiwyaelGlqgPRlw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Bad Bunny,http://youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q,YouTube channel,AdGroup #1,71,USD,0.00,113,62.83%,0.19,0.00,0.00,0.00%
Dwayne Morgan,http://youtube.com/channel/UCaB2nKDU1iidoqpmv4npXKw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
ManualidadesConNinos - Ideas En 5 Minutos Muñecas,http://youtube.com/channel/UCZXgPADChvxyAYuZBfu6spA,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
HeXtian,http://youtube.com/channel/UC2y7kgcZtegJo9XZl3WuNIQ,YouTube channel,AdGroup #1,1,USD,0.02,1,100.00%,0.02,0.00,0.00,0.00%
MariProkids,http://youtube.com/channel/UCLA72EFk1BndWKij27DNJeQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Sammy,http://youtube.com/channel/UCOUn3y-ZkCavkITZCW51YIw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
GS Pictures,http://youtube.com/channel/UCBjUaWCi8khAeY_yAFucbGg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Nicole Sthefania,http://youtube.com/channel/UCN5mtYCv4qej-Ug7U-2hSaw,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Naomi Rain,http://youtube.com/channel/UCEpA0ZyBQt5vWT_yAAqOWPw,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
marvin palacios,http://youtube.com/channel/UCuv2c3np736sBnucN8PTkcA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Dani Hoyos,http://youtube.com/channel/UClM9Si2dh7zPNco3sYe8oJg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Mi Historia Animada,http://youtube.com/channel/UCAfRk-fbNGwVTfbXcmhIWoQ,YouTube channel,AdGroup #1,3,USD,0.01,4,75.00%,0.03,0.00,0.00,0.00%
GrundySrandy,http://youtube.com/channel/UCp0nrujdVUuejzOEctKMfOg,YouTube channel,AdGroup #1,1,USD,0.01,1,100.00%,0.01,0.00,0.00,0.00%
LoyaltyYT,http://youtube.com/channel/UCtfmK_bj9DK2RzdpgJbmu4Q,YouTube channel,AdGroup #1,2,USD,0.01,2,100.00%,0.01,0.00,0.00,0.00%
Jacksøn,http://youtube.com/channel/UC1Qj70v6ZJt5niAAgo82wlQ,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
RosaFlickan,http://youtube.com/channel/UCizk-L0LCRvYf2ZLouOkY2Q,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
•CHICHACHU•,http://youtube.com/channel/UC2sq0kNtEhzmjHCcP1112qg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
DRIET,http://youtube.com/channel/UC5MRIFZGX2AQ7OkQR8fNV6w,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
MelzinhaMel Games,http://youtube.com/channel/UCRb1QRG7BOKFri_9Pkpaqrg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Clicker,http://youtube.com/channel/UCEj3EHFwSOfadwufHnZlNNQ,YouTube channel,AdGroup #1,2,USD,0.00,2,100.00%,0.01,0.00,0.00,0.00%
Alice NoKamen,http://youtube.com/channel/UChQunoTEI91u_fG-3wIuskg,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
Ricardotaku,http://youtube.com/channel/UCADPsQ4gT36DgXDB2_-wdeA,YouTube channel,AdGroup #1,1,USD,0.00,1,100.00%,0.00,0.00,0.00,0.00%
WOA Pando Channel,http://youtube.com/channel/UC6k0ijpMoUc84QysmsB4rUw,YouTube channel,AdGroup #1,5,USD,0.02,9,55.56%,0.08,0.00,0.00,0.00%
